NAME                                                                              USED  AVAIL  REFER  MOUNTPOINT
StoragePool/MonitorScripts@autosnap_2017-07-27_20:12:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-27_20:13:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:02:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:06:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:06:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:07:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:07:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:13:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:13:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:14:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:14:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:15:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_00:15:01_daily                       8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_05:00:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_05:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_05:07:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_10:07:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_10:10:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_10:11:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_10:14:02_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_10:15:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:00:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:04:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:06:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:09:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:10:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:11:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_15:12:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_20:00:01_hourly                     64K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_20:01:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_20:02:01_hourly                      8K      -   160K  -
StoragePool/MonitorScripts@autosnap_2017-07-28_20:08:01_hourly                     64K      -   160K  -
